clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
10_fireworks_02_clip_0000,0,0,0,0,0,0,0,0
10_fireworks_02_clip_0001,1,0,0,1,0,0,1,0
10_fireworks_02_clip_0002,0,0,0,0,1,1,1,0
10_fireworks_02_clip_0003,1,0,1,1,1,1,1,0
10_fireworks_02_clip_0004,0,0,0,0,0,0,0,0
10_fireworks_02_clip_0005,0,0,0,0,0,0,0,0
10_fireworks_02_clip_0006,1,0,0,1,0,0,1,0
10_fireworks_02_clip_0007,1,0,0,1,0,0,0,0
10_fireworks_02_clip_0008,0,0,0,0,0,0,0,0
10_fireworks_02_clip_0009,0,0,0,0,0,0,0,0
10_fireworks_02_clip_0010,0,0,0,0,0,0,0,0
