clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
14_driving_03_clip_0000,1,0,0,1,0,0,1,0
14_driving_03_clip_0001,1,0,0,1,0,0,1,0
14_driving_03_clip_0002,1,0,0,1,0,0,1,0
14_driving_03_clip_0003,1,0,0,1,0,0,1,0
14_driving_03_clip_0004,1,0,0,1,0,0,1,0
14_driving_03_clip_0005,1,0,0,1,0,0,1,0
14_driving_03_clip_0006,1,0,1,1,0,0,1,0
14_driving_03_clip_0007,1,0,1,1,0,0,1,0
14_driving_03_clip_0008,1,0,1,1,0,0,1,0
14_driving_03_clip_0009,1,0,0,1,0,0,1,0
14_driving_03_clip_0010,1,0,0,1,0,0,1,0
14_driving_03_clip_0011,1,0,0,1,0,0,1,0
14_driving_03_clip_0012,1,0,0,1,0,0,1,0
14_driving_03_clip_0013,1,0,0,1,0,0,1,0
14_driving_03_clip_0014,1,0,0,1,0,0,1,0
14_driving_03_clip_0015,0,0,0,0,0,0,1,1
14_driving_03_clip_0016,0,0,0,0,0,0,1,1
14_driving_03_clip_0017,0,0,0,0,0,0,1,1
14_driving_03_clip_0018,0,0,0,0,0,0,1,1
14_driving_03_clip_0019,0,0,0,0,0,0,1,1
14_driving_03_clip_0020,0,0,0,0,0,0,1,1
14_driving_03_clip_0021,0,0,0,0,0,0,1,1
14_driving_03_clip_0022,0,0,0,0,0,0,1,1
14_driving_03_clip_0023,1,0,0,1,0,0,1,1
14_driving_03_clip_0024,1,0,0,1,0,0,1,0
14_driving_03_clip_0025,1,1,0,1,0,0,1,0
14_driving_03_clip_0026,1,1,0,1,0,0,1,0
14_driving_03_clip_0027,1,1,0,1,0,0,1,0
14_driving_03_clip_0028,1,1,0,1,0,0,1,0
14_driving_03_clip_0029,1,1,0,1,0,0,1,0
14_driving_03_clip_0030,1,0,0,1,0,0,1,0
14_driving_03_clip_0031,1,0,0,1,0,0,1,0
14_driving_03_clip_0032,1,0,0,1,0,0,1,0
14_driving_03_clip_0033,1,1,0,1,0,0,1,0
14_driving_03_clip_0034,1,1,0,1,0,0,1,0
14_driving_03_clip_0035,1,0,0,1,0,0,1,0
14_driving_03_clip_0036,1,0,0,1,0,0,1,0
14_driving_03_clip_0037,1,0,0,1,0,0,1,0
14_driving_03_clip_0038,1,0,0,1,0,0,1,0
14_driving_03_clip_0039,1,0,0,1,0,0,1,0
14_driving_03_clip_0040,1,0,0,1,0,0,1,0
14_driving_03_clip_0041,1,0,0,1,0,0,1,0
14_driving_03_clip_0042,1,0,0,1,0,0,1,0
14_driving_03_clip_0043,0,0,0,0,0,0,1,0
14_driving_03_clip_0044,1,0,0,1,0,0,1,0
