clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
16_zooming_lights_clip_0000,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0001,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0002,1,0,0,1,0,0,1,0
16_zooming_lights_clip_0003,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0004,1,0,0,1,0,0,1,0
16_zooming_lights_clip_0005,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0006,1,0,0,1,0,0,1,0
16_zooming_lights_clip_0007,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0008,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0009,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0010,1,0,0,1,0,0,1,0
16_zooming_lights_clip_0011,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0012,0,0,0,0,0,0,0,0
16_zooming_lights_clip_0013,1,0,0,1,0,0,1,0
16_zooming_lights_clip_0014,0,0,0,0,0,0,0,0
