clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
17_flikering_lights_clip_0000,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0001,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0002,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0003,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0004,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0005,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0006,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0007,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0008,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0009,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0010,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0011,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0012,1,0,1,1,0,0,0,0
17_flikering_lights_clip_0013,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0014,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0015,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0016,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0017,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0018,1,0,1,1,0,0,1,0
17_flikering_lights_clip_0019,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0020,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0021,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0022,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0023,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0024,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0025,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0026,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0027,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0028,1,0,0,1,0,0,1,0
17_flikering_lights_clip_0029,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0030,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0031,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0032,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0033,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0034,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0035,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0036,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0037,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0038,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0039,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0040,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0041,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0042,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0043,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0044,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0045,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0046,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0047,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0048,1,0,1,1,0,0,1,0
17_flikering_lights_clip_0049,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0050,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0051,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0052,1,0,1,1,0,0,1,0
17_flikering_lights_clip_0053,1,1,0,1,0,0,1,0
17_flikering_lights_clip_0054,1,0,0,1,0,0,0,0
17_flikering_lights_clip_0055,1,1,1,1,0,0,1,0
17_flikering_lights_clip_0056,1,1,1,1,0,0,1,0
