clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
27_lightning_clip_0000,1,0,0,1,0,0,1,0
27_lightning_clip_0001,1,0,1,1,0,0,1,0
27_lightning_clip_0002,0,0,0,0,0,0,0,0
27_lightning_clip_0003,1,0,0,1,0,0,1,0
27_lightning_clip_0004,1,0,0,1,0,0,1,0
27_lightning_clip_0005,0,0,0,0,0,0,0,0
27_lightning_clip_0006,0,0,0,0,0,0,0,0
27_lightning_clip_0007,1,0,0,1,0,0,1,0
27_lightning_clip_0008,1,0,0,1,0,0,1,0
27_lightning_clip_0009,0,0,0,0,0,0,0,0
27_lightning_clip_0010,1,0,0,1,0,0,1,0
27_lightning_clip_0011,1,0,0,1,0,0,1,0
27_lightning_clip_0012,0,0,0,0,0,0,0,0
27_lightning_clip_0013,0,0,0,0,0,0,0,0
27_lightning_clip_0014,1,0,0,1,0,0,1,0
27_lightning_clip_0015,1,0,0,1,0,0,1,0
27_lightning_clip_0016,0,0,0,0,0,0,0,0
27_lightning_clip_0017,1,0,0,1,0,0,1,0
27_lightning_clip_0018,0,0,0,0,0,0,1,0
27_lightning_clip_0019,0,0,0,0,0,0,0,0
27_lightning_clip_0020,1,0,0,1,1,0,1,0
27_lightning_clip_0021,1,0,0,1,0,0,1,0
27_lightning_clip_0022,0,0,0,0,0,0,0,0
27_lightning_clip_0023,1,0,0,1,1,0,1,0
27_lightning_clip_0024,0,0,0,0,0,0,0,0
27_lightning_clip_0025,0,0,0,0,0,0,0,0
