clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
29_pattern_clip_0000,1,0,0,1,1,1,0,1
29_pattern_clip_0001,0,0,0,0,1,1,0,1
29_pattern_clip_0002,0,0,0,0,1,1,0,1
29_pattern_clip_0003,0,0,0,0,1,1,0,1
29_pattern_clip_0004,0,0,0,0,1,0,0,1
29_pattern_clip_0005,0,0,0,0,1,0,0,1
29_pattern_clip_0006,0,0,0,0,1,1,0,1
29_pattern_clip_0007,0,0,0,0,1,1,0,1
29_pattern_clip_0008,0,0,0,0,1,1,0,1
29_pattern_clip_0009,0,0,0,0,1,1,0,1
29_pattern_clip_0010,0,0,0,0,1,1,0,1
29_pattern_clip_0011,0,0,0,0,1,0,0,1
29_pattern_clip_0012,0,0,0,0,1,0,0,1
29_pattern_clip_0013,0,0,0,0,0,0,0,1
29_pattern_clip_0014,0,0,0,0,0,0,0,1
