clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
36_bomb_01_clip_0000,0,0,0,0,0,0,0,0
36_bomb_01_clip_0001,1,0,0,1,0,0,1,0
36_bomb_01_clip_0002,0,0,0,0,0,0,1,0
36_bomb_01_clip_0003,0,0,0,0,0,0,1,0
36_bomb_01_clip_0004,0,0,0,0,0,0,1,0
36_bomb_01_clip_0005,0,0,0,0,0,0,1,0
36_bomb_01_clip_0006,0,0,0,0,0,0,1,0
36_bomb_01_clip_0007,0,0,0,0,0,0,1,0
36_bomb_01_clip_0008,0,0,0,0,0,0,1,0
36_bomb_01_clip_0009,0,0,0,0,0,0,1,0
36_bomb_01_clip_0010,0,0,0,0,0,0,1,0
36_bomb_01_clip_0011,0,0,0,0,0,0,1,0
36_bomb_01_clip_0012,0,0,0,0,0,0,1,0
36_bomb_01_clip_0013,0,0,0,0,0,0,1,0
36_bomb_01_clip_0014,0,0,0,0,0,0,1,0
36_bomb_01_clip_0015,0,0,0,0,0,0,1,0
36_bomb_01_clip_0016,0,0,0,0,0,0,1,0
36_bomb_01_clip_0017,0,0,0,0,0,0,0,0
36_bomb_01_clip_0018,0,0,0,0,0,0,0,0
36_bomb_01_clip_0019,0,0,0,0,0,0,0,0
36_bomb_01_clip_0020,0,0,0,0,0,0,0,0
36_bomb_01_clip_0021,0,0,0,0,0,0,0,0
36_bomb_01_clip_0022,0,0,0,0,0,0,0,0
36_bomb_01_clip_0023,0,0,0,0,0,0,0,0
36_bomb_01_clip_0024,0,0,0,0,0,0,0,0
36_bomb_01_clip_0025,0,0,0,0,0,0,0,0
36_bomb_01_clip_0026,0,0,0,0,0,0,0,0
36_bomb_01_clip_0027,0,0,0,0,0,0,0,0
36_bomb_01_clip_0028,0,0,0,0,0,0,0,0
36_bomb_01_clip_0029,0,0,0,0,0,0,0,0
36_bomb_01_clip_0030,0,0,0,0,0,0,0,0
36_bomb_01_clip_0031,0,0,0,0,0,0,0,0
36_bomb_01_clip_0032,0,0,0,0,0,0,0,0
36_bomb_01_clip_0033,0,0,0,0,0,0,0,0
36_bomb_01_clip_0034,0,0,0,0,0,0,0,0
36_bomb_01_clip_0035,0,0,0,0,0,0,0,0
36_bomb_01_clip_0036,0,0,0,0,0,0,0,0
36_bomb_01_clip_0037,0,0,0,0,0,0,0,0
36_bomb_01_clip_0038,0,0,0,0,0,0,0,0
36_bomb_01_clip_0039,0,0,0,0,0,0,0,0
36_bomb_01_clip_0040,0,0,0,0,0,0,0,0
36_bomb_01_clip_0041,0,0,0,0,0,0,0,0
