clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
38_riot_fire_clip_0000,0,0,0,0,0,0,0,0
38_riot_fire_clip_0001,1,0,0,1,0,0,1,0
38_riot_fire_clip_0002,1,0,1,1,0,0,1,0
38_riot_fire_clip_0003,1,0,1,1,0,0,1,0
38_riot_fire_clip_0004,1,0,0,1,0,0,1,0
38_riot_fire_clip_0005,0,0,0,0,0,0,0,0
38_riot_fire_clip_0006,0,0,0,0,0,0,0,0
38_riot_fire_clip_0007,0,0,0,0,0,0,0,0
38_riot_fire_clip_0008,0,0,0,0,0,0,0,0
38_riot_fire_clip_0009,1,0,1,1,0,0,1,0
38_riot_fire_clip_0010,1,0,1,1,0,0,1,0
38_riot_fire_clip_0011,0,0,0,0,0,0,1,0
38_riot_fire_clip_0012,0,0,0,0,0,0,1,0
38_riot_fire_clip_0013,0,0,0,0,0,0,0,0
38_riot_fire_clip_0014,1,1,0,1,0,0,1,0
38_riot_fire_clip_0015,1,1,0,1,0,0,1,0
38_riot_fire_clip_0016,0,1,0,1,0,0,1,0
38_riot_fire_clip_0017,1,1,1,1,0,0,1,0
38_riot_fire_clip_0018,1,1,1,1,0,0,0,0
38_riot_fire_clip_0019,1,1,1,1,0,0,0,0
38_riot_fire_clip_0020,0,1,0,1,0,0,0,0
38_riot_fire_clip_0021,0,1,0,1,0,0,0,0
38_riot_fire_clip_0022,1,1,0,1,0,0,0,0
38_riot_fire_clip_0023,0,1,0,1,0,0,0,0
38_riot_fire_clip_0024,0,1,0,1,0,0,0,0
38_riot_fire_clip_0025,0,1,0,1,0,0,0,0
38_riot_fire_clip_0026,1,1,0,1,0,0,0,0
38_riot_fire_clip_0027,0,1,0,1,0,0,0,0
38_riot_fire_clip_0028,0,1,0,1,0,0,0,0
