clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
39_glitch_motion_01_clip_0000,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0001,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0002,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0003,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0004,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0005,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0006,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0007,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0008,1,0,0,1,1,1,1,1
39_glitch_motion_01_clip_0009,1,0,0,1,1,1,1,1
39_glitch_motion_01_clip_0010,1,0,0,1,1,1,1,1
39_glitch_motion_01_clip_0011,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0012,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0013,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0014,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0015,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0016,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0017,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0018,1,0,1,1,0,0,1,1
39_glitch_motion_01_clip_0019,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0020,1,0,0,1,1,1,1,1
39_glitch_motion_01_clip_0021,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0022,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0023,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0024,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0025,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0026,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0027,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0028,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0029,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0030,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0031,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0032,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0033,1,0,1,1,1,1,1,1
39_glitch_motion_01_clip_0034,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0035,1,1,1,1,1,1,1,1
39_glitch_motion_01_clip_0036,1,0,1,1,1,1,1,1
