clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
45_stage_lights_02_clip_0000,1,0,0,1,1,0,1,0
45_stage_lights_02_clip_0001,1,0,0,1,1,1,0,0
45_stage_lights_02_clip_0002,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0003,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0004,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0005,1,0,1,1,0,0,1,0
45_stage_lights_02_clip_0006,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0007,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0008,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0009,0,1,0,1,1,1,0,0
45_stage_lights_02_clip_0010,1,1,1,1,1,1,1,0
45_stage_lights_02_clip_0011,1,0,1,1,1,1,1,0
45_stage_lights_02_clip_0012,1,0,0,1,1,1,1,0
45_stage_lights_02_clip_0013,1,0,0,1,1,1,1,0
45_stage_lights_02_clip_0014,1,0,0,1,1,1,1,0
45_stage_lights_02_clip_0015,1,0,1,1,1,1,1,0
45_stage_lights_02_clip_0016,1,1,1,1,1,1,1,0
45_stage_lights_02_clip_0017,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0018,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0019,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0020,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0021,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0022,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0023,1,0,0,1,0,0,1,0
45_stage_lights_02_clip_0024,1,0,1,1,0,0,1,0
45_stage_lights_02_clip_0025,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0026,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0027,1,1,1,1,0,0,1,0
45_stage_lights_02_clip_0028,0,0,0,0,0,0,1,0
45_stage_lights_02_clip_0029,0,0,0,0,0,0,1,0
45_stage_lights_02_clip_0030,0,0,0,0,0,0,1,0
45_stage_lights_02_clip_0031,0,0,0,0,0,0,1,0
45_stage_lights_02_clip_0032,0,0,0,0,0,0,1,0
45_stage_lights_02_clip_0033,0,0,0,0,0,0,0,0
45_stage_lights_02_clip_0034,0,0,0,0,0,0,0,0
45_stage_lights_02_clip_0035,0,0,0,0,0,0,0,0
45_stage_lights_02_clip_0036,0,0,0,0,0,0,0,0
45_stage_lights_02_clip_0037,0,0,0,0,0,0,0,0
45_stage_lights_02_clip_0038,0,0,0,0,0,0,0,0
