clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
4_clublights_02_clip_0000,1,1,0,1,1,1,1,0
4_clublights_02_clip_0001,1,1,0,1,1,1,1,0
4_clublights_02_clip_0002,1,1,0,1,1,1,1,0
4_clublights_02_clip_0003,0,0,0,0,1,1,1,0
4_clublights_02_clip_0004,1,0,0,1,1,0,0,0
4_clublights_02_clip_0005,0,0,0,0,1,1,0,0
4_clublights_02_clip_0006,1,1,0,1,1,1,1,0
4_clublights_02_clip_0007,0,0,0,0,1,0,1,0
4_clublights_02_clip_0008,0,0,0,0,1,1,1,0
4_clublights_02_clip_0009,1,1,0,1,1,1,1,0
4_clublights_02_clip_0010,0,0,0,0,1,1,0,0
4_clublights_02_clip_0011,1,0,0,1,1,1,0,0
4_clublights_02_clip_0012,0,0,0,0,1,1,1,0
4_clublights_02_clip_0013,0,0,0,0,1,1,1,0
4_clublights_02_clip_0014,0,0,0,0,1,1,1,0
4_clublights_02_clip_0015,1,1,0,1,1,1,1,0
4_clublights_02_clip_0016,1,0,0,1,1,1,0,0
4_clublights_02_clip_0017,0,0,0,0,1,0,0,0
4_clublights_02_clip_0018,0,0,0,0,1,0,1,0
4_clublights_02_clip_0019,0,1,0,1,1,1,1,0
4_clublights_02_clip_0020,0,0,0,0,1,1,1,0
4_clublights_02_clip_0021,0,0,0,0,1,1,1,0
4_clublights_02_clip_0022,1,0,0,1,1,1,0,0
4_clublights_02_clip_0023,0,0,0,0,1,1,0,0
4_clublights_02_clip_0024,1,0,0,1,1,1,1,0
4_clublights_02_clip_0025,0,0,0,0,1,1,1,0
4_clublights_02_clip_0026,0,0,0,0,1,1,1,0
4_clublights_02_clip_0027,0,0,0,0,1,1,1,0
4_clublights_02_clip_0028,1,1,0,1,1,1,1,0
4_clublights_02_clip_0029,1,1,0,1,1,0,1,0
4_clublights_02_clip_0030,1,1,0,1,1,1,1,0
4_clublights_02_clip_0031,1,0,0,1,1,0,1,0
4_clublights_02_clip_0032,1,0,1,1,1,1,1,0
4_clublights_02_clip_0033,1,1,1,1,1,1,1,0
4_clublights_02_clip_0034,0,0,0,0,1,1,0,0
4_clublights_02_clip_0035,1,0,0,1,1,1,0,0
4_clublights_02_clip_0036,0,0,0,0,1,1,0,0
4_clublights_02_clip_0037,1,1,0,1,1,1,1,0
4_clublights_02_clip_0038,1,0,0,1,1,0,1,0
4_clublights_02_clip_0039,0,0,0,0,1,0,1,0
4_clublights_02_clip_0040,0,0,0,0,1,1,0,0
4_clublights_02_clip_0041,0,0,0,0,1,1,0,0
4_clublights_02_clip_0042,1,0,0,1,1,1,0,0
4_clublights_02_clip_0043,0,0,0,0,1,0,1,0
4_clublights_02_clip_0044,1,1,0,1,1,1,1,0
4_clublights_02_clip_0045,1,0,0,1,1,1,1,0
4_clublights_02_clip_0046,0,0,0,0,1,1,1,0
4_clublights_02_clip_0047,1,0,0,1,1,1,1,0
