clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
5_firetruck_flash_clip_0000,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0001,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0002,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0003,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0004,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0005,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0006,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0007,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0008,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0009,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0010,1,1,0,1,0,0,1,1
5_firetruck_flash_clip_0011,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0012,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0013,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0014,1,1,0,1,1,1,1,1
5_firetruck_flash_clip_0015,0,0,0,0,0,0,0,0
