clip_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
6_red_blue_lights_clip_0000,0,1,0,1,0,0,1,0
6_red_blue_lights_clip_0001,0,1,0,1,0,0,1,0
6_red_blue_lights_clip_0002,0,1,0,1,0,0,1,0
6_red_blue_lights_clip_0003,0,1,0,1,0,0,1,0
6_red_blue_lights_clip_0004,1,1,0,1,0,0,1,0
6_red_blue_lights_clip_0005,1,1,0,1,0,0,1,0
6_red_blue_lights_clip_0006,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0007,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0008,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0009,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0010,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0011,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0012,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0013,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0014,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0015,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0016,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0017,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0018,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0019,0,0,0,0,0,0,1,0
6_red_blue_lights_clip_0020,1,1,0,1,1,1,1,0
6_red_blue_lights_clip_0021,1,1,0,1,0,0,1,0
6_red_blue_lights_clip_0022,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0023,1,0,0,1,0,0,1,0
6_red_blue_lights_clip_0024,0,0,0,0,0,0,1,0
