frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
