frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
14,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
17,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
21,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
22,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
23,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
24,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
25,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
26,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
27,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
28,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
29,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
30,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
31,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
32,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
33,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
34,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
35,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
36,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
37,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
38,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
39,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
40,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
41,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
42,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
44,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
45,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
46,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
47,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
49,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
50,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
53,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
54,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
55,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
56,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
58,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
61,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
62,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
63,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
65,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
67,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
69,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
70,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
71,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
73,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
