frame_id,PHF,PHR,PFS,PS,PSP,PHP,flash,pattern
0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
9,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
19,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
20,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
21,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
30,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
31,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
32,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
33,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
43,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
44,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
45,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
46,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
53,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
54,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
55,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
